nome,uf,siglaUf
N/I,N/I,??
ITACOATIARA,AMAZONAS,AM
ITAMARATI,AMAZONAS,AM
ITAPIRANGA,AMAZONAS,AM
JAPURÁ,AMAZONAS,AM
JURUÁ,AMAZONAS,AM
JUTAÍ,AMAZONAS,AM
LÁBREA,AMAZONAS,AM
MANACAPURU,AMAZONAS,AM
MANAQUIRI,AMAZONAS,AM
MANAUS,AMAZONAS,AM
MANICORÉ,AMAZONAS,AM
MARAÃ,AMAZONAS,AM
MAUÉS,AMAZONAS,AM
NHAMUNDÁ,AMAZONAS,AM
NOVA OLINDA DO NORTE,AMAZONAS,AM
NOVO AIRÃO,AMAZONAS,AM
NOVO ARIPUANÃ,AMAZONAS,AM
PARINTINS,AMAZONAS,AM
PAUINI,AMAZONAS,AM
PRESIDENTE FIGUEIREDO,AMAZONAS,AM
RIO PRETO DA EVA,AMAZONAS,AM
SANTA ISABEL DO RIO NEGRO,AMAZONAS,AM
SANTO ANTÔNIO DO IÇÁ,AMAZONAS,AM
SÃO GABRIEL DA CACHOEIRA,AMAZONAS,AM
SÃO PAULO DE OLIVENÇA,AMAZONAS,AM
SÃO SEBASTIÃO DO UATUMÃ,AMAZONAS,AM
SILVES,AMAZONAS,AM
TABATINGA,AMAZONAS,AM
TAPAUÁ,AMAZONAS,AM
TEFÉ,AMAZONAS,AM
TONANTINS,AMAZONAS,AM
UARINI,AMAZONAS,AM
URUCARÁ,AMAZONAS,AM
URUCURITUBA,AMAZONAS,AM
AMAJARI,RORAIMA,RR
ALTO ALEGRE,RORAIMA,RR
BOA VISTA,RORAIMA,RR
BONFIM,RORAIMA,RR
CANTÁ,RORAIMA,RR
CARACARAÍ,RORAIMA,RR
CAROEBE,RORAIMA,RR
IRACEMA,RORAIMA,RR
MUCAJAÍ,RORAIMA,RR
NORMANDIA,RORAIMA,RR
PACARAIMA,RORAIMA,RR
RORAINÓPOLIS,RORAIMA,RR
SÃO JOÃO DA BALIZA,RORAIMA,RR
SÃO LUIZ,RORAIMA,RR
UIRAMUTÃ,RORAIMA,RR
ABAETETUBA,PARA,PA
ABEL FIGUEIREDO,PARA,PA
ACARÁ,PARA,PA
AFUÁ,PARA,PA
ÁGUA AZUL DO NORTE,PARA,PA
ALENQUER,PARA,PA
ALMEIRIM,PARA,PA
ALTAMIRA,PARA,PA
ANAJÁS,PARA,PA
ANANINDEUA,PARA,PA
ANAPU,PARA,PA
AUGUSTO CORRÊA,PARA,PA
AURORA DO PARÁ,PARA,PA
AVEIRO,PARA,PA
BAGRE,PARA,PA
BAIÃO,PARA,PA
BANNACH,PARA,PA
BARCARENA,PARA,PA
BELÉM,PARA,PA
BELTERRA,PARA,PA
BENEVIDES,PARA,PA
BOM JESUS DO TOCANTINS,PARA,PA
BONITO,PARA,PA
BRAGANÇA,PARA,PA
BRASIL NOVO,PARA,PA
BREJO GRANDE DO ARAGUAIA,PARA,PA
BREU BRANCO,PARA,PA
BREVES,PARA,PA
BUJARU,PARA,PA
CACHOEIRA DO PIRIÁ,PARA,PA
CACHOEIRA DO ARARI,PARA,PA
CAMETÁ,PARA,PA
CANAÃ DOS CARAJÁS,PARA,PA
CAPANEMA,PARA,PA
CAPITÃO POÇO,PARA,PA
CASTANHAL,PARA,PA
CHAVES,PARA,PA
COLARES,PARA,PA
CONCEIÇÃO DO ARAGUAIA,PARA,PA
CONCÓRDIA DO PARÁ,PARA,PA
CUMARU DO NORTE,PARA,PA
CURIONÓPOLIS,PARA,PA
CURRALINHO,PARA,PA
CURUÁ,PARA,PA
CURUÇÁ,PARA,PA
DOM ELISEU,PARA,PA
ELDORADO DOS CARAJÁS,PARA,PA
FARO,PARA,PA
FLORESTA DO ARAGUAIA,PARA,PA
GARRAFÃO DO NORTE,PARA,PA
GOIANÉSIA DO PARÁ,PARA,PA
GURUPÁ,PARA,PA
IGARAPÉ-AÇU,PARA,PA
IGARAPÉ-MIRI,PARA,PA
INHANGAPI,PARA,PA
IPIXUNA DO PARÁ,PARA,PA
IRITUIA,PARA,PA
ITAITUBA,PARA,PA
ITUPIRANGA,PARA,PA
JACAREACANGA,PARA,PA
JACUNDÁ,PARA,PA
JURUTI,PARA,PA
LIMOEIRO DO AJURU,PARA,PA
MÃE DO RIO,PARA,PA
MAGALHÃES BARATA,PARA,PA
MARABÁ,PARA,PA
MARACANÃ,PARA,PA
MARAPANIM,PARA,PA
MARITUBA,PARA,PA
MEDICILÂNDIA,PARA,PA
MELGAÇO,PARA,PA
MOCAJUBA,PARA,PA
MOJU,PARA,PA
MONTE ALEGRE,PARA,PA
MUANÁ,PARA,PA
NOVA ESPERANÇA DO PIRIÁ,PARA,PA
NOVA IPIXUNA,PARA,PA
NOVA TIMBOTEUA,PARA,PA
NOVO PROGRESSO,PARA,PA
