codProc,nome
0202010783,ACIDEZ TITULÁVEL NO LEITE HUMANO (DORNIC)
0202090019,ACIDO URICO LIQUIDO NO SINOVIAL E DERRAMES
0202090027,ADENOGRAMA
0201010011,AMNIOCENTESE
0211040010,AMNIOSCOPIA
0211070017,ANALISE ACUSTICA DA VOZ POR MEIO DE LABORATORIO DE VOZ
0213020017,ANALISE DE BACTERIAS PATOGENICAS EM AGUA
0213020025,ANALISE DE BACTERIAS PATOGENICAS EM SOLO
0202050017,ANALISE DE CARACTERES FISICOS, ELEMENTOS E SEDIMENTO DA URINA
0213020033,ANALISE DE COLIFORMES E BACTERIAS HETEROTROFICAS EM AGUA
0202100065,ANÁLISE DE DNA PELA TÉCNICA DE SOUTHERN BLOT
0202100073,ANÁLISE DE DNA POR MLPA
0213020041,ANALISE DE METAIS PESADOS
0213020050,ANALISE DE RESIDUOS DE PESTICIDAS
0213020068,ANALISE FISICO-QUIMICA DE AGUA
0210010010,ANGIOGRAFIA CEREBRAL (4 VASOS)
0210010029,ANGIOGRAFIA DE ARCO AORTICO
0210010037,ANGIOGRAFIA DE ARCO AORTICO E TRONCOS SUPRA-AORTICOS
0207010013,ANGIORESSONANCIA CEREBRAL
0202080013,ANTIBIOGRAMA
0202080021,ANTIBIOGRAMA C/ CONCENTRACAO INIBITORIA MINIMA
0202080030,ANTIBIOGRAMA P/ MICOBACTERIAS
0210010045,AORTOGRAFIA ABDOMINAL
0210010053,AORTOGRAFIA TORACICA
0211100013,APLICACAO DE TESTE P/ PSICODIAGNOSTICO
0210010061,ARTERIOGRAFIA CERVICO-TORACICA
0210010070,ARTERIOGRAFIA DE MEMBRO
0210010088,ARTERIOGRAFIA DIGITAL (POR VIA VENOSA)
0210010096,ARTERIOGRAFIA P/ INVESTIGACAO DE DOENCA ARTERIOSCLEROTICA AORTO-ILIACA E DISTAL
0210010100,ARTERIOGRAFIA P/ INVESTIGACAO DE HEMORRAGIA CEREBRAL
0210010118,ARTERIOGRAFIA P/ INVESTIGACAO DE ISQUEMIA CEREBRAL
0210010126,ARTERIOGRAFIA PELVICA
0210010134,ARTERIOGRAFIA SELETIVA DE CAROTIDA
0210010142,ARTERIOGRAFIA SELETIVA POR CATETER (POR VASO)
0210010150,ARTERIOGRAFIA SELETIVA VERTEBRAL
0204060010,ARTROGRAFIA
0211070025,AUDIOMETRIA DE REFORCO VISUAL (VIA AEREA / OSSEA)
0211070033,AUDIOMETRIA EM CAMPO LIVRE
0211070041,AUDIOMETRIA TONAL LIMIAR (VIA AEREA / OSSEA)
0211070050,AVALIACAO AUDITIVA COMPORTAMENTAL
0211030015,AVALIACAO CINEMATICA E DE PARAMETROS LINEARES
0211030023,AVALIACAO CINÉTICA, CINEMÁTICA E DE PARÂMETROS LINEARES
0211030031,AVALIAÇÃO DE EQUILÍBRIO ESTÁTICO EM PLACA DE FORÇA
0211030040,AVALIAÇÃO DE FUNÇÃO E MECÂNICA RESPIRATÓRIA
0211030058,AVALIAÇÃO DE FUNÇÃO E MECÂNICA RESPIRATÓRIA COM TRANSDUTORES MICROPROCESSADOS
0211070068,AVALIACAO DE LINGUAGEM ESCRITA / LEITURA
0211070076,AVALIACAO DE LINGUAGEM ORAL
0211030066,AVALIAÇÃO DE MOVIMENTO (POR IMAGEM)
0211070378,AVALIAÇÃO E SELEÇÃO PRÉ-CIRÚRGICA PARA IMPLANTE COCLEAR
0211070416,AVALIAÇÃO E SELEÇÃO PRÉ-CIRÚRGICA PARA PRÓTESE AUDITIVA ANCORADA NO OSSO
0211030074,AVALIAÇÃO FUNCIONAL MUSCULAR
0211070084,AVALIACAO MIOFUNCIONAL DE SISTEMA ESTOMATOGNATICO
0211070092,AVALIACAO P/ DIAGNOSTICO DE DEFICIENCIA AUDITIVA
0211070106,AVALIACAO P/ DIAGNOSTICO DIFERENCIAL DE DEFICIENCIA AUDITIVA
0211090018,AVALIACAO URODINAMICA COMPLETA
0211070114,AVALIACAO VOCAL
0202080056,BACILOSCOPIA DIRETA P/ BAAR (HANSENIASE)
0202080064,BACILOSCOPIA DIRETA P/ BAAR TUBERCULOS (CONTROLE)
0202080048,BACILOSCOPIA DIRETA P/ BAAR TUBERCULOSE (DIAGNÓSTICA)
0202080072,BACTERIOSCOPIA (GRAM)
0211060011,BIOMETRIA ULTRASSÔNICA (MONOCULAR)
0211060020,BIOMICROSCOPIA DE FUNDO DE OLHO
0201010020,BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE
0201010038,BIOPSIA CIRURGICA DE TIREOIDE
0201010046,BIOPSIA DE ANUS E CANAL ANAL
0201010054,BIOPSIA DE BACO POR PUNCAO / ASPIRACAO
0201010062,BIOPSIA DE BEXIGA
0201010070,BIOPSIA DE BOLSA ESCROTAL
0201010089,BIOPSIA DE CONDUTO AUDITIVO EXTERNO
0201010097,BIOPSIA DE CONJUNTIVA
0201010100,BIOPSIA DE CORDAO ESPERMATICO (UNILATERAL)
0201010119,BIOPSIA DE CORNEA
0201010127,BIOPSIA DE CORPO VERTEBRAL A CEU ABERTO
0201010135,BIOPSIA DE CORPO VERTEBRAL LAMINA E PEDICULO VERTEBRAL (POR DISPOSITIVO GUIADO)
0201010143,BIOPSIA DE ENDOCARDIO / MIOCARDIO
0201010151,BIOPSIA DE ENDOMETRIO
0201010160,BIOPSIA DE ENDOMETRIO POR ASPIRACAO MANUAL INTRA-UTERINA
0201010178,BIOPSIA DE EPIDIDIMO
0201010186,BIOPSIA DE ESCLERA
0201010194,BIOPSIA DE FARINGE/LARINGE
0201010208,BIOPSIA DE FIGADO EM CUNHA / FRAGMENTO
0201010216,BIOPSIA DE FIGADO POR PUNCAO
0201010224,BIOPSIA DE GANGLIO LINFATICO
0201010232,BIÓPSIA DE GLÂNDULA SALIVAR
0201010240,BIOPSIA DE IRIS, CORPO CILIAR, RETINA, COROIDE, VITREO E TUMOR INTRA OCULAR
0201010259,BIOPSIA DE LAMINA PEDICULO E PROCESSOS VERTEBRAIS (A CEU ABERTO)
0201010267,BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO)
0201010275,BIOPSIA DE MEDULA OSSEA
